Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,377363,530896,645718,665798,686223,707155,728710,750918,773729,797082,820885,..
"Population, total",SP.POP.TOTL,Eritrea,ERI,3139083,3535156,4304440,4406299,4500638,4593549,4689664,4789568,4892233,4998824,5110444,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,..
"Population, total",SP.POP.TOTL,Ethiopia,ETH,48057094,66443603,78735675,80891968,83079608,85302099,87561814,89858696,92191211,94558374,96958732,..
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48031,46491,48505,48599,48629,48613,48567,48492,48393,48292,48221,..
"Population, total",SP.POP.TOTL,Fiji,FJI,728626,811223,827390,834729,843206,851854,859952,867327,874158,880487,886450,..
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,..
"Population, total",SP.POP.TOTL,France,FRA,58512808,60912498,63621376,64016229,64374990,64707044,65027512,65342776,65639975,65925498,66217509,..
"Population, total",SP.POP.TOTL,French Polynesia,PYF,198370,237267,257731,260361,262877,265412,268065,270862,273775,276766,279781,..
"Population, total",SP.POP.TOTL,Gabon,GAB,952269,1231548,1408920,1440902,1473741,1507428,1541936,1577298,1613489,1650351,1687673,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,916811,1228863,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878,1928201,..
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4418300,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,..
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,82376451,82266372,82110097,81902307,81776930,81797673,80425823,82132753,80970732,..
"Population, total",SP.POP.TOTL,Ghana,GHA,14628260,18824994,21951891,22528041,23115919,23713164,24317734,24928503,25544565,26164432,26786598,..
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10869637,..
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56774,56555,56328,56323,56905,56890,56810,56483,56295,..
"Population, total",SP.POP.TOTL,Grenada,GRD,96286,101620,103259,103587,103934,104298,104677,105070,105476,105902,106349,..
"Population, total",SP.POP.TOTL,Guam,GUM,130482,155328,158429,158332,158310,158621,159440,160858,162807,165121,167543,..
"Population, total",SP.POP.TOTL,Guatemala,GTM,9158547,11688660,13490041,13797629,14106687,14418033,14732261,15049280,15368759,15690793,16015494,..
"Population, total",SP.POP.TOTL,Guinea,GIN,6034082,8799165,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726,12275527,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1056208,1315455,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138,1800513,..
"Population, total",SP.POP.TOTL,Guyana,GUY,720282,742218,743705,745638,748096,750749,753362,755883,758410,761033,763893,..
"Population, total",SP.POP.TOTL,Haiti,HTI,7099733,8549202,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249,10572029,..
"Population, total",SP.POP.TOTL,Honduras,HND,4903363,6243080,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059,7961680,..
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,7241700,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9863183,..
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,303782,311566,317414,318499,318041,319014,320716,323764,327386,..
"Population, total",SP.POP.TOTL,India,IND,870601776,1053481072,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543,..
"Population, total",SP.POP.TOTL,Indonesia,IDN,181436821,211540428,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276,254454778,..
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,56169196,65850062,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445,78143644,..
"Population, total",SP.POP.TOTL,Iraq,IRQ,17478455,23574751,27716983,28423538,29163327,29970634,30868156,31810191,32780975,33781385,34812326,..
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4615693,..
"Population, total",SP.POP.TOTL,Isle of Man,IMY,70312,76806,81110,81914,82737,83548,84327,85069,85779,86462,87127,..
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,..
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2390000,2589389,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714669,2720554,..
"Population, total",SP.POP.TOTL,Japan,JPN,123537000,126843000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,..
"Population, total",SP.POP.TOTL,Jordan,JOR,3170000,4797000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000,6607000,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289224,..
"Population, total",SP.POP.TOTL,Kenya,KEN,23446229,31065820,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,72411,84406,94257,96310,98437,100566,102648,104662,106620,108544,110470,..
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,20194354,22840218,23969897,24111945,24243829,24371806,24500506,24631359,24763353,24895705,25026772,..
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669,50423955,..
"Population, total",SP.POP.TOTL,Kosovo,KSV,1862000,1700000,1719536,1733404,1747383,1761474,1775680,1790957,1805200,1818117,1823149,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,2058832,1929470,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4247839,5342879,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985,6689300,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,2703019,3235380,4057041,4085426,4109389,4181742,4337156,4388637,4440728,4493438,4546774,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,1597534,1856225,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,..
"Population, total",SP.POP.TOTL,Liberia,LBR,2102877,2891968,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692,4396554,..
"Population, total",SP.POP.TOTL,Libya,LBY,4398419,5337264,5907149,6017794,6123022,6208680,6265697,6288652,6283403,6265987,6258984,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28745,33282,35141,35431,35721,36004,36276,36537,36791,37040,37286,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,472637,479993,488650,497783,506953,518347,530946,543360,556319,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,359735,431907,479728,493022,507274,521405,534626,546682,557763,568056,577914,..
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1996227,2012051,2047330,2051427,2055266,2058920,2062443,2065888,2069270,2072543,2075625,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,11545782,15744811,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,..
"Population, total",SP.POP.TOTL,Malawi,MWI,9408998,11193230,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,18211097,23420751,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,..
"Population, total",SP.POP.TOTL,Maldives,MDV,218000,286000,333000,349000,362000,360000,367000,377000,385000,393000,401000,..
"Population, total",SP.POP.TOTL,Mali,MLI,8482075,11046926,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097,17086022,..
"Population, total",SP.POP.TOTL,Malta,MLT,354170,381363,405308,406724,409379,412477,414508,416268,419455,423374,427364,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47300,52161,52080,52136,52221,52321,52428,52541,52663,52786,52898,..
"Population, total",SP.POP.TOTL,Mauritania,MRT,2023665,2711421,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684,3969625,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,..
"Population, total",SP.POP.TOTL,Mexico,MEX,85609404,102808590,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,96331,107430,105680,105080,104472,103961,103619,103476,103516,103718,104044,..
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3639592,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,..
"Population, total",SP.POP.TOTL,Monaco,MCO,29438,32081,34384,35046,35731,36351,36845,37189,37404,37528,37623,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,2184145,2397438,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174,2909871,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,615025,615875,616969,618294,619428,620079,620601,621207,621810,..
"Population, total",SP.POP.TOTL,Morocco,MAR,24950128,28950553,30691434,31011322,31350544,31714958,32107739,32531964,32984190,33452686,33921203,..
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13371971,18264536,21737860,22359637,22994867,23647815,24321457,25016921,25732928,26467180,27216276,..
"Population, total",SP.POP.TOTL,Myanmar,MMR,42007309,47669791,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,..
"Population, total",SP.POP.TOTL,Namibia,NAM,1415447,1897953,2053915,2083174,2115703,2152357,2193643,2240161,2291645,2346592,2402858,..
"Population, total",SP.POP.TOTL,Nepal,NPL,18741688,23740145,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981,28174724,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,213230,235314,238902,242546,246245,250000,254000,258000,262000,266000,..
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,..
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4144564,5026792,5450217,5522119,5594524,5666595,5737722,5807787,5877034,5945646,6013913,..
"Population, total",SP.POP.TOTL,Niger,NER,7911884,11224523,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863,19113728,..
"Population, total",SP.POP.TOTL,Nigeria,NGA,95617345,122876723,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517,177475986,..
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,43972,68434,62235,59791,57343,55276,53860,53234,53314,53869,54541,..
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5136886,..
"Population, total",SP.POP.TOTL,Oman,OMN,1812159,2239403,2553376,2593750,2652281,2762073,2943747,3210003,3545192,3906912,4236057,..
"Population, total",SP.POP.TOTL,Pakistan,PAK,107607639,138250487,156524189,159767672,163096985,166520983,170043918,173669648,177392252,181192646,185044286,..
"Population, total",SP.POP.TOTL,Palau,PLW,15089,19174,20012,20118,20227,20344,20470,20606,20756,20919,21097,..
"Population, total",SP.POP.TOTL,Panama,PAN,2471010,3028751,3378600,3438398,3498679,3559401,3620506,3681979,3743761,3805683,3867535,..
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4157903,5374051,6236158,6387470,6540267,6693799,6847517,7001172,7154870,7308864,7463577,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,4213740,5302703,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669,6552518,..
"Population, total",SP.POP.TOTL,Peru,PER,21826658,25914875,27949958,28292768,28642048,29001563,29373644,29759891,30158768,30565461,30973148,..
"Population, total",SP.POP.TOTL,Philippines,PHL,61947340,77932247,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,..
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,..
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,..
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3810605,3805214,3782995,3760866,3740410,3721527,3686771,3642281,3595839,3548397,..
"Population, total",SP.POP.TOTL,Qatar,QAT,476478,593453,988448,1178955,1388962,1591151,1765513,1905437,2015624,2101288,2172065,..
"Population, total",SP.POP.TOTL,Romania,ROM,23201835,22442971,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19904360,..
"Population, total",SP.POP.TOTL,Russian Federation,RUS,148292000,146596557,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819569,..
"Population, total",SP.POP.TOTL,Rwanda,RWA,7259740,8021875,9231041,9481083,9750314,10024594,10293669,10556429,10817350,11078095,11341544,..
"Population, total",SP.POP.TOTL,Samoa,WSM,162865,174614,181072,182238,183440,184700,186029,187434,188901,190390,191845,..
"Population, total",SP.POP.TOTL,San Marino,SMR,24045,27420,29568,29874,30160,30431,30690,30938,31172,31391,31595,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,113575,137164,156584,160064,163595,167196,170880,174646,178484,182386,186342,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16361453,21392273,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051,30886545,..
"Population, total",SP.POP.TOTL,Senegal,SEN,7514201,9860578,11578430,11897230,12229703,12581624,12956791,13357003,13780108,14221041,14672557,..
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7129366,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,70000,81131,84600,85033,86956,87298,89770,87441,88303,89900,91400,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,3931208,4060709,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,..
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,4027887,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,..
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,30519,38270,39462,40458,39133,35474,33435,34640,36607,37685,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,..
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,311849,412336,480716,492075,503410,514767,526177,537648,549162,560685,572171,..
"Population, total",SP.POP.TOTL,Somalia,SOM,6321615,7385416,8686939,8909015,9132589,9356827,9581714,9806670,10033630,10268157,10517569,..
"Population, total",SP.POP.TOTL,South Africa,ZAF,35200000,44000000,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490,54001953,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,5762190,6692999,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184,..
"Population, total",SP.POP.TOTL,Spain,ESP,38850435,40263216,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46476032,..
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17015000,19102000,19858000,20039000,20246000,20450000,20653000,20869000,20424000,20579000,20771000,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40833,45544,49818,50465,51093,51717,52352,52998,53650,54301,54944,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138180,156949,167656,170146,172729,175196,177397,179278,180890,182305,183645,..
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30036,28384,28414,28905,29376,29820,30235,30615,30959,31264,31530,..
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107509,107897,108908,109049,109165,109255,109316,109341,109334,109327,109360,..
"Population, total",SP.POP.TOTL,Sudan,SDN,20008804,28079664,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274,..
"Population, total",SP.POP.TOTL,Suriname,SUR,408276,480751,495953,500953,506657,512522,518141,523439,528535,533450,538248,..
"Population, total",SP.POP.TOTL,Swaziland,SWZ,862728,1063715,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112,..
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188102,..
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12451539,16354050,18728200,19425597,20097057,20566871,20720602,21070917,21427155,21789415,22157800,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5297286,6186152,6949566,7099021,7254072,7414960,7581696,7753925,7930929,8111894,8295840,..
"Population, total",SP.POP.TOTL,Tanzania,TZA,25458208,33991590,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621,..
"Population, total",SP.POP.TOTL,Thailand,THA,56582824,62693322,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,..
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,740231,847185,996052,1013194,1030630,1048367,1066409,1120392,1148958,1180069,1212107,..
"Population, total",SP.POP.TOTL,Togo,TGO,3786942,4874735,5732175,5890414,6052937,6219761,6390851,6566179,6745581,6928719,7115163,..
"Population, total",SP.POP.TOTL,Tonga,TON,95152,97898,101507,102169,102816,103416,103947,104392,104769,105139,105586,..
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221904,1267980,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240,1354483,..
"Population, total",SP.POP.TOTL,Tunisia,TUN,8154400,9552500,10127900,10225100,10328900,10439600,10547100,10673800,10777500,10886500,10996600,..
